name,email,profile_url,publications
Kanyanatt Kanokwiroon,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F21211089612916%2Fkanyanatt-kanokwiroon.,https://scholargps.com/scholars/21211089612916/kanyanatt-kanokwiroon,
Arumugam Manthiram,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F35091465231962%2Farumugam-manthiram.,https://scholargps.com/scholars/35091465231962/arumugam-manthiram,
Benjamas Cheirsilp,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F35935719772242%2Fbenjamas-cheirsilp.,https://scholargps.com/scholars/35935719772242/benjamas-cheirsilp,
Nisaudah Radenahmad,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F36889169346541%2Fnisaudah-radenahmad.,https://scholargps.com/scholars/36889169346541/nisaudah-radenahmad,
Pornchai Sathirapanya,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F37764254203066%2Fpornchai-sathirapanya.,https://scholargps.com/scholars/37764254203066/pornchai-sathirapanya,
Chaweewan Jansakul,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F40732455933466%2Fchaweewan-jansakul.,https://scholargps.com/scholars/40732455933466/chaweewan-jansakul,
Alan Geater,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F41156551861204%2Falan-geater.,https://scholargps.com/scholars/41156551861204/alan-geater,
Soottawat Benjakul,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F41786498110741%2Fsoottawat-benjakul.,https://scholargps.com/scholars/41786498110741/soottawat-benjakul,
Kitti Limapichat,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F50524914218112%2Fkitti-limapichat.,https://scholargps.com/scholars/50524914218112/kitti-limapichat,
Noppadol Kietsiriroje,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F51008649147115%2Fnoppadol-kietsiriroje.,https://scholargps.com/scholars/51008649147115/noppadol-kietsiriroje,
Thammarat Kaewmanee,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F51357599678449%2Fthammarat-kaewmanee.,https://scholargps.com/scholars/51357599678449/thammarat-kaewmanee,
Naichaya Chamroonkul,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F54898288915865%2Fnaichaya-chamroonkul.,https://scholargps.com/scholars/54898288915865/naichaya-chamroonkul,
Rattana Leelawattana,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F59825179143808%2Frattana-leelawattana.,https://scholargps.com/scholars/59825179143808/rattana-leelawattana,
Patcharawalai Jaisamut,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F73754598535597%2Fpatcharawalai-jaisamut.,https://scholargps.com/scholars/73754598535597/patcharawalai-jaisamut,
Boonprasit Kritpracha,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F76574404914863%2Fboonprasit-kritpracha.,https://scholargps.com/scholars/76574404914863/boonprasit-kritpracha,
Pimsiri Sripongpun,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F76895369654521%2Fpimsiri-sripongpun.,https://scholargps.com/scholars/76895369654521/pimsiri-sripongpun,
Virasakdi Chongsuvivatwong,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F77250528116710%2Fvirasakdi-chongsuvivatwong.,https://scholargps.com/scholars/77250528116710/virasakdi-chongsuvivatwong,
Suwanna Setthawatcharawanich,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F79764952803961%2Fsuwanna-setthawatcharawanich.,https://scholargps.com/scholars/79764952803961/suwanna-setthawatcharawanich,
Kittikorn Nilmanat,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F81376981795765%2Fkittikorn-nilmanat.,https://scholargps.com/scholars/81376981795765/kittikorn-nilmanat,
Kanitpong Phabphal,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F96571832406334%2Fkanitpong-phabphal.,https://scholargps.com/scholars/96571832406334/kanitpong-phabphal,
Praewchompoo Sathirapanya,?subject=I%20wanted%20you%20to%20see%20this%20site&body=Check%20out%20this%20site%20https%3A%2F%2Fscholargps.com%2Fscholars%2F97054926916025%2Fpraewchompoo-sathirapanya.,https://scholargps.com/scholars/97054926916025/praewchompoo-sathirapanya,
